query,period,value
masaz kobido,2025-01,31
masaz kobido,2025-02,32
masaz kobido,2025-03,33
masaz kobido,2025-04,34
masaz kobido,2025-05,35
masaz kobido,2025-06,36
masaz kobido,2025-07,37
masaz kobido,2025-08,38
masaz kobido,2025-09,39
masaz kobido,2025-10,40
masaz kobido,2025-11,41
masaz kobido,2025-12,42
kobido efekty,2025-01,31
kobido efekty,2025-02,32
kobido efekty,2025-03,33
kobido efekty,2025-04,34
kobido efekty,2025-05,35
kobido efekty,2025-06,36
kobido efekty,2025-07,37
kobido efekty,2025-08,38
kobido efekty,2025-09,39
kobido efekty,2025-10,40
kobido efekty,2025-11,41
kobido efekty,2025-12,42
kobido niepolomice,2025-01,31
kobido niepolomice,2025-02,32
kobido niepolomice,2025-03,33
kobido niepolomice,2025-04,34
kobido niepolomice,2025-05,35
kobido niepolomice,2025-06,36
kobido niepolomice,2025-07,37
kobido niepolomice,2025-08,38
kobido niepolomice,2025-09,39
kobido niepolomice,2025-10,40
kobido niepolomice,2025-11,41
kobido niepolomice,2025-12,42
masaz twarzy,2025-01,31
masaz twarzy,2025-02,32
masaz twarzy,2025-03,33
masaz twarzy,2025-04,34
masaz twarzy,2025-05,35
masaz twarzy,2025-06,36
masaz twarzy,2025-07,37
masaz twarzy,2025-08,38
masaz twarzy,2025-09,39
masaz twarzy,2025-10,40
masaz twarzy,2025-11,41
masaz twarzy,2025-12,42
lifting twarzy,2025-01,31
lifting twarzy,2025-02,32
lifting twarzy,2025-03,33
lifting twarzy,2025-04,34
lifting twarzy,2025-05,35
lifting twarzy,2025-06,36
lifting twarzy,2025-07,37
lifting twarzy,2025-08,38
lifting twarzy,2025-09,39
lifting twarzy,2025-10,40
lifting twarzy,2025-11,41
lifting twarzy,2025-12,42
